listing_id,listed,available,unit,house,street,suburb,city,price,bedrooms,bathrooms,href,photo
1375573359,2017/07/20,2017/08/29,,111B,THE RIDGEWAY,Mornington,Wellington,560,3,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1375573359.htm,https://trademe.tmcdn.co.nz/photoserver/med/619350150.jpg
1380176776,2017/07/26,2017/07/30,,21,COCKAYNE RD,Khandallah,Wellington,600,4,2,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1380176776.htm,https://trademe.tmcdn.co.nz/photoserver/med/621688706.jpg
1378653115,2017/07/24,2017/07/24,,41,HANSON STREET,Mount Cook,Wellington,475,3,2,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1378653115.htm,https://trademe.tmcdn.co.nz/photoserver/med/621009776.jpg
1380184419,2017/07/26,2017/07/29,2,130,ORIENTAL PDE,Oriental Bay,Wellington,750,2,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1380184419.htm,https://trademe.tmcdn.co.nz/photoserver/med/621694350.jpg
1379448002,2017/07/25,2017/07/26,,164,VIVAN STREET,Wellington Central,Wellington,1200,2,3,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1379448002.htm,https://trademe.tmcdn.co.nz/photoserver/med/621356161.jpg
1379203592,2017/07/25,2017/08/26,8,30,HANSON STREET,Mount Cook,Wellington,435,2,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1379203592.htm,https://trademe.tmcdn.co.nz/photoserver/med/621223922.jpg
1380203554,2017/07/26,2017/08/19,,48A,SUSSEX STREET,Mount Cook,Wellington,615,3,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1380203554.htm,https://trademe.tmcdn.co.nz/photoserver/med/621717841.jpg
1376317041,2017/07/21,2017/07/27,,2,SEAVIEW TCE,Northland,Wellington,600,4,2,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1376317041.htm,https://trademe.tmcdn.co.nz/photoserver/med/621042175.jpg
1375706956,2017/07/20,2017/07/22,3E,42,MOLESWORTH STREET,Thorndon,Wellington,595,2,2,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1375706956.htm,https://trademe.tmcdn.co.nz/photoserver/med/619442267.jpg
1376439888,2017/07/21,2017/08/16,112,12,MARTIN SQUARE,Te Aro,Wellington,280,1,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1376439888.htm,https://trademe.tmcdn.co.nz/photoserver/med/619700732.jpg
1378750567,2017/07/24,2017/08/14,388,233,CUBA STREET,Wellington Central,Wellington,460,1,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1378750567.htm,https://trademe.tmcdn.co.nz/photoserver/med/621055618.jpg
1376415966,2017/07/21,2017/07/27,,73A,STEWART DRIVE,Newlands,Wellington,280,1,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1376415966.htm,https://trademe.tmcdn.co.nz/photoserver/med/619688022.jpg
1378376269,2017/07/24,2017/07/24,R,72-82,TARANAKI STREET,Te Aro,Wellington,440,2,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1378376269.htm,https://trademe.tmcdn.co.nz/photoserver/med/620851746.jpg
1379661885,2017/07/25,2017/07/31,,12A,BROOKLYN RD,Te Aro,Wellington,350,1,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1379661885.htm,https://trademe.tmcdn.co.nz/photoserver/med/621410169.jpg
1380917447,2017/07/27,2017/08/11,3,66,NORTHLAND RD,Northland,Wellington,460,2,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1380917447.htm,https://trademe.tmcdn.co.nz/photoserver/med/622400575.jpg
1380212045,2017/07/26,2017/08/08,203,131,BROUGHAM STREET,Mount Victoria,Wellington,410,2,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1380212045.htm,https://trademe.tmcdn.co.nz/photoserver/med/621715084.jpg
1381672152,2017/07/28,2017/07/28,,7,WARRINGTON GROVE,Newlands,Wellington,480,3,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1381672152.htm,https://trademe.tmcdn.co.nz/photoserver/med/622522222.jpg
1379415997,2017/07/25,2017/08/08,3,2,ORIENTAL TERRACE,Oriental Bay,Wellington,580,1,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1379415997.htm,https://trademe.tmcdn.co.nz/photoserver/med/621331966.jpg
1378003653,2017/07/23,2017/08/08,37,22,BOOTH STREET,Miramar,Wellington,725,3,3,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1378003653.htm,https://trademe.tmcdn.co.nz/photoserver/med/618129945.jpg
1378438936,2017/07/24,2017/08/16,201,8,WIGAN STREET,Wellington Central,Wellington,460,1,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1378438936.htm,https://trademe.tmcdn.co.nz/photoserver/med/620895725.jpg
1378647838,2017/07/24,2017/07/25,,15B,DEE STREET,Island Bay,Wellington,550,2,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1378647838.htm,https://trademe.tmcdn.co.nz/photoserver/med/621007708.jpg
1378063240,2017/07/23,2017/07/27,,26A,NGAIO ROAD,Kelburn,Wellington,725,5,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1378063240.htm,https://trademe.tmcdn.co.nz/photoserver/med/620680289.jpg
1379753559,2017/07/25,2017/08/06,,180,HELSTON ROAD,Paparangi,Wellington,520,3,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1379753559.htm,https://trademe.tmcdn.co.nz/photoserver/med/621479166.jpg
